Entity,BiType,Type,Shape,Color,Type.Name,Grouped.Sectors,Loc.Reg.All,Loc.Reg.Gov,Date of Proj Inception,Date of Proj Completion,Project.Age,Central ,Regional Central,Local Central, Organization,None,All counties,Alameda,Contra Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma,Online Only,Sum Counties,Classified,Spatial Scale
1City of Santa Rosa,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Santa Rosa,,,,,,,,,,,1,,1,1,1
1City of Saratoga,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Saratoga,,,,,,,,,1,,,,1,1,1
1City of Sausalito,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Sausalito,,,,,1,,,,,,,,1,1,1
1City of Sebastopol,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Sebastopol,,,,,,,,,,,1,,1,1,1
1City of Sonoma,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Sonoma,,,,,,,,,,,1,,1,1,1
1City of South San Francisco,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of South San Francisco,,,,,,,,1,,,,,1,1,1
1City of Sunnyvale,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Sunnyvale,,,,,,,,,1,,,,1,1,1
1City of Tiburon,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Tiburon,,,,,1,,,,,,,,1,1,1
1City of Union City,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Union City,,,1,,,,,,,,,,1,1,1
1City of Vallejo,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Vallejo,,,,,,,,,,1,,,1,1,1
1City of Windsor,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,City of Windsor,,,,,,,,,,,1,,1,1,1
1CivicSpark,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,Americorps CivicSpark,,1,,,,,,,,,,,9,1,9
1ClAccess,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Climate Access,,1,,,,,,,,,,,9,1,9
1CleanCo,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Clean Coalition,,1,,,,,,,,,,,9,1,9
1Clif,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Clif Bar,,1,,,,,,,,,,,9,1,9
1CMGLA,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,CMG Landscape Architecture,,1,,,,,,,,,,,9,1,9
1CMSA,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Central Marin Sanitation Agency,,,,,1,,,,,,,,1,1,1
1CNR,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California Natural Resources Agency,,1,,,,,,,,,,,9,1,9
1CoastComm,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California Coastal Commission,,1,,,,,,,,,,,9,1,9
1Codding,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,Codding Foundation,,1,,,,,,,,,,,9,1,9
1COES,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California Office of Emergency Services,,1,,,,,,,,,,,9,1,9
1Comcast,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Comcast,,1,,,,,,,,,,,9,1,9
1Connect,1,15,50,,Other,Non-Government,Regional,Non-Government,,,,,,,Connect the Dots,,1,,,,,,,,,,,9,1,9
1Conservancy,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,Conservancy,Conservancy,,California Coastal Conservancy,,1,,,,,,,,,,,9,1,9
1CoopCE,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Cooperative Community Energy,,1,,,,,,,,,,,9,1,9
1Cooper,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Cooper Lighting,,1,,,,,,,,,,,9,1,9
1Coravai,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Coravai,,1,,,,,,,,,,,9,1,9
1COS,1,10,50,,Consortium,Regional Government,Regional,Regional Government,,,,,,,Center for Ocean Solutions,,1,,,,,,,,,,,9,1,9
1Costco,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Costco,,1,,,,,,,,,,,9,1,9
1County of Alameda,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,County of Alameda,,,1,,,,,,,,,,1,1,1
1County of Contra Costa,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,County of Contra Costa,,,,1,,,,,,,,,1,1,1
1County of Humboldt,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,County of Humboldt,1,,,,,,,,,,,,0,1,0
1County of Marin,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,County of Marin,County of Marin,,,,,1,,,,,,,,1,1,1
1County of Napa,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,County of Napa,,,,,,1,,,,,,,1,1,1
1County of San Mateo,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,County of San Mateo,,,,,,,,1,,,,,1,1,1
1County of Santa Clara,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,County of Santa Clara,,,,,,,,,1,,,,1,1,1
1County of Santa Cruz,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,County of Santa Cruz,1,,,,,,,,,,,,0,1,0
1County of Solano,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,County of Solano,,,,,,,,,,1,,,1,1,1
1County of Sonoma,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,County of Sonoma,,,,,,,,,,,1,,1,1,1
1CPA,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Center for Progressive Action,,1,,,,,,,,,,,9,1,9
1CPC,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Climate Protection Campaign,,1,,,,,,,,,,,9,1,9
1CPDDWG,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,County Planning and Development Department Working Group for the Public Health Element of the General Plan,,,,,,,,,1,,,,1,1,1
1CPUC,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California Public Utilities Commission,,1,,,,,,,,,,,9,1,9
1Craft,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Craft Consulting Group,,1,,,,,,,,,,,9,1,9
1CRI,1,10,50,,Consortium,Regional Government,Regional,Regional Government,,,,,,,Climate Readiness Institute,,1,,,,,,,,,,,9,1,9
1Crocker,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,Mary Crocker Foundation,,1,,,,,,,,,,,9,1,9
1Crunchy,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Crunchy Foods,,1,,,,,,,,,,,9,1,9
1CSMW,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,1California Coastal Sediment Management Workgroup,,1,,,,,,,,,,,9,1,9
1CSOB,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Coalition to Save Ocean Beach,,,,,,,1,,,,,,1,1,1
1CST,1,15,50,,Other,Non-Government,Regional,Non-Government,,,,,,,Catalyst for a Sustainable Future,,1,,,,,,,,,,,9,1,9
1CVSanD,1,5,50,,Environmental Districts,Local Government,Local,Local Government,,,,,,,Castro Valley Sanitary District,,,1,,,,,,,,,,1,1,1
1CWA,1,15,50,,Other,Non-Government,Regional,Non-Government,,,,,,,Communication Workers of America,,1,,,,,,,,,,,9,1,9
1Danem,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,Danem Foundation,,1,,,,,,,,,,,9,1,9
1DBOC,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,Drakes Bay Oyster Company,,,,,1,,,,,,,,1,1,1
1DCGrid,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,DCgrid.us,,1,,,,,,,,,,,9,1,9
1DefendWild,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Defenders of Wildlife,,1,,,,,,,,,,,9,1,9
1DELTCON,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,Delta Conservancy,,,,1,,,,,,1,,,2,1,2
1DeltStew,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,Delta Stewardship Council,,,1,1,,,1,,,1,,,4,1,4
1DIG,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,DIG Coop,,1,,,,,,,,,,,9,1,9
1DMS,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,Dixon Marine Services,,,,,,,,,,1,,,1,1,1
1DNVGL,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,DNV GL,,1,,,,,,,,,,,9,1,9
1DPC,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,Delta Protection Commission,,,1,1,,,1,,,1,,,4,1,4
1DPM,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,DPM Associates,,1,,,,,,,,,,,9,1,9
1DucksU,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Ducks Unlimited,,1,,,,,,,,,,,9,1,9
1DWR,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California Department of Water Resources,,1,,,,,,,,,,,9,1,9
1EarthShare,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,EarthShare,,1,,,,,,,,,,,9,1,9
1EBALDC,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,East Bay Asian Local Development Corporation (EBALDC),,,1,,,,,,,,,,1,1,1
1EBCohouse,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,East Bay Cohousing - Cohousing California,,,1,,,,1,,,,,,2,1,2
1EBDischargers,1,7,50,,Government-Joint Powers,Local Government,Local,Local Government,,,,,,,East Bay Dischargers Association,,,1,,,,,,,,,,1,1,1
1EBEconDev,1,10,50,,Consortium,Local Government,Local,Local Government,,,,,,,East Bay Economic Development Alliance,,,1,,,,,,,,,,1,1,1
1EBGC,1,10,50,,Consortium,Regional Government,Regional,Regional Government,,,,,,,East Bay Green Corridor,,,1,1,,,,,,,,,2,1,2
1EBGreen,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,East Bay Green Tours,,,1,,,,,,,,,,1,1,1
1EBMToolsNet,1,14,50,,Science,Non-Government,Regional,Non-Government,,,,,,,Ecosystem Based Management Tools Network,,1,,,,,,,,,,,9,1,9
1EBMUD,1,6,50,,Water Districts,Regional Government,Regional,Regional Government,,,,,,,East Bay Municipal Utility District,,,1,1,,,,,,,,,2,1,2
1EBParks,1,5,50,,Environmental Districts,Regional Government,Regional,Regional Government,,,,,,,East Bay Regional Park District,,,1,1,,,,,,,,,2,1,2
1EcoCent,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Ecology Center,,1,,,,,,,,,,,9,1,9
1Ecocity,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Ecocity Builders,,1,,,,,,,,,,,9,1,9
1ECOtality,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,ECOtality,,1,,,,,,,,,,,9,1,9
1Eden,1,15,50,,Other,Non-Government,Local,Non-Government,,,,,,,Eden Shores Community,,,1,,,,,,,,,,1,1,1
1EDF,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Environmental Defense Fund,,1,,,,,,,,,,,9,1,9
1EDMarin,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Earth Day Marin,,,,,1,,,,,,,,1,1,1
1EERI,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Earthquake Engineering Research Institute,,1,,,,,,,,,,,9,1,9
1EJCW,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Environmental Justice Coalition for Water,,1,,,,,,,,,,,9,1,9
1ElementLED,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,ElementalLED,,1,,,,,,,,,,,9,1,9
1Enphase,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Enphase Energy,,1,,,,,,,,,,,9,1,9
1ENVIRON,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,ENVIRON Corporation,,1,,,,,,,,,,,9,1,9
1EPA,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,US Environmental Protection Agency,,1,,,,,,,,,,,9,1,9
1EPA ORD,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,Environmental Protection Agency - Office of Research and Development,,1,,,,,,,,,,,9,1,9
1Eprep,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Energy Preparedness,,1,,,,,,,,,,,9,1,9
1EPS,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Economic Planning Systems,,1,,,,,,,,,,,9,1,9
1ESA,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Environmental Science Associates,,1,,,,,,,,,,,9,1,9
1ESC,1,15,50,,Other,Non-Government,Local,Non-Government,,,,,,,Energy Solidarity Cooperative,,,1,,,,,,,,,,1,1,1
1EVCA,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,EV Communities Alliance,,1,,,,,,,,,,,9,1,9
1Everybody,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Everybody Solar,,1,,,,,,,,,,,9,1,9
1Facebook,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Facebook,,1,,,,,,,,,,,9,1,9
1Farallones,1,4,50,,Government-Federal,Government-Federal,Local,Regional Government,,,,,,,NOAA Farallones Marine Sanctuary,1,,,,,,,,,,,,0,,0
1Feinstein,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,Office of Senator Diane Feinstein,,1,,,,,,,,,,,9,1,9
1FEMA,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,Federal Emergency Management Agency,,1,,,,,,,,,,,9,1,9
1FoFC,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Friends of Five Creeks,,,1,1,,,,,,,,,2,1,2
1FriantWater,1,7,50,,Government-Joint Powers,Local Government,Local,Local Government,,,,,,,Friant Water Authority,1,,,,,,,,,,,,0,1,0
1FriendsCorte,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Friends of Corte Madera Creek Watershed,,,,,1,,,,,,,,1,1,1
1FriendsNapa,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Friends of the Napa River,,,,,,1,,,,,,,1,1,1
1FriendsNovato,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Friends of Novato Creek,,,,,1,,,,,,,,1,1,1
1FriendsPetaluma,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Friends of the Petaluma River,,,,,,,,,,,1,,1,1,1
1FriendsSFEstuary,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Friends of the San Francisco Estuary,,,,,,,1,,,,,,1,1,1
1GA,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,GreenAction,,1,,,,,,,,,,,9,1,9
1GallinasSanD,1,5,50,,Environmental Districts,Local Government,Local,Local Government,,,,,,,Las Gallinas Valley Sanitary District,,,,,1,,,,,,,,1,1,1
1GBMF,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,Gordon and Betty Moore Foundation,,1,,,,,,,,,,,9,1,9
1GCGuide,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,Green Contractor Guide,,1,,,,,,,,,,,9,1,9
1GCNet,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Green Cafe Network,,1,,,,,,,,,,,9,1,9
1GEL,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,GroupEnergyLeotek,,1,,,,,,,,,,,9,1,9
1GELS,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,GE Lighting Solutions,,1,,,,,,,,,,,9,1,9
1Genen,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,GenenTech,,1,,,,,,,,,,,9,1,9
1GenGreen,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Generation Green,,1,,,,,,,,,,,9,1,9
1Gensler,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Gensler,,1,,,,,,,,,,,9,1,9
1Geografika,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Geografika,,1,,,,,,,,,,,9,1,9
1GG,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Global Genesis,,1,,,,,,,,,,,9,1,9
1GGAS,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Golden Gate Audubon Society,,,,,,,1,,,,,,1,1,1
1GHD,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,GHD Consulting Engineers,,1,,,,,,,,,,,9,1,9
1GlobEx,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Global Exchange,,1,,,,,,,,,,,9,1,9
1GNSC,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Good Neighbor Steering Committee,,,,,,,,,,1,,,1,1,1
1GOGA,1,4,50,,Government-Federal,Government-Federal,Local,Regional Government,,,,,,,National Park Service - Golden Gate National Recreation Area,,,,,,,1,,,,,,1,1,1
1Goldman,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,Richard and Rhoda Goldman Fund,,1,,,,,,,,,,,9,1,9
1Goldman2,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,Lisa and Douglas Goldman Foundation,,1,,,,,,,,,,,9,1,9
1Google,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Google,,1,,,,,,,,,,,9,1,9
1Grassroots,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Marin Grassroots,,,,,1,,,,,,,,1,1,1
1Greenaction,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Greenaction for Health and Environmental Justice,,,1,,,,1,,,,,,2,1,2
1GreenEcoTek,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,Green Eco Tek.com,,,,,,,,,,,,1,0,1,0
1Greenhouse,1,15,50,,Other,Non-Government,Local,Non-Government,,,,,,,Greenhouse Collective.com,,,,,,,,,,,,1,0,1,0
1GreenUp,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,GreenUp Learning,,1,,,,,,,,,,,9,1,9
1GRP,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,"Green Retirement Plans, Inc.",,1,,,,,,,,,,,9,1,9
1GRRCD,1,5,50,,Environmental Districts,Local Government,Local,Local Government,,,,,,,Gold Ridge Resource Conservation District,,,,,,,,,,,1,,1,1,1
1GWC,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Gallinas Watershed Council,,,,,1,,,,,,,,1,1,1
1HabHum EB,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Habitat for Humanity East Bay-Silicon Valley,,,1,1,,,,,1,,,,3,1,3
1HabHum GSF,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Habitat for Humanity Greater San Francisco,,,,,,,1,,,,,,1,1,1
1HabHum MC,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Habitat for Humanity of the Mendocino Coast,1,,,,,,,,,,,,0,1,0
1HabHum NS,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Habitat for Humanity Napa-Solano,,,,,,1,,,,1,,,2,1,2
1HabHum SC,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Habitat for Humanity Sonoma County,,,,,,,,,,,1,,1,1,1
1Hara,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,"HARA SOFTWARE, INC.",,1,,,,,,,,,,,9,1,9
1HASPA,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,Hayward Area Shoreline Planning Agency,,,1,,,,,,,,,,1,1,1
1HaywardParks,1,5,50,,Environmental Districts,Local Government,Local,Local Government,,,,,,,Hayward Area Recreation and Park District,,,1,,,,,,,,,,1,1,1
1Herzfeld,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,martinHerzfeld,,1,,,,,,,,,,,9,1,9
1HLTSC,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Housing Land Trust of Sonoma County,,,,,,,,,,,1,,1,1,1
1Holton,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Geoffrey Holton and Associates,,1,,,,,,,,,,,9,1,9
1HSU,1,14,50,,Science,Non-Government,Local,Non-Government,,,,,,,Humboldt State University ,1,,,,,,,,,,,,0,1,0
1Hydrocomp,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,"HydroComp, Inc",,1,,,,,,,,,,,9,1,9
1IBEW NECA,1,15,50,,Other,Non-Government,Local,Non-Government,,,,,,,IBEW-NECA,1,,,,,,,,,,,,0,1,0
1IBEW332,1,15,50,,Other,Non-Government,Local,Non-Government,,,,,,,IBEW 332,,,,,,,,,1,,,,1,1,1
1IBEW595,1,15,50,,Other,Non-Government,Local,Non-Government,,,,,,,IBEW 595,1,,,,,,,,,,,,0,1,0
1ICF,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,ICF International,,1,,,,,,,,,,,9,1,9
1ICLEI,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,ICLEI Local Governments for Sustainability,,1,,,,,,,,,,,9,1,9
1ImperialDPH,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Imperial County Public Health Department,1,,,,,,,,,,,,0,1,0
1Isla,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Isla Arena Consulting,,1,,,,,,,,,,,9,1,9
1JPB,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,The JPB Foundation,,1,,,,,,,,,,,9,1,9
1JVSV,1,8,50,,Consultants,Non-Government,Local,Non-Government,,,,,,,Joint Venture Silicon Valley,,,,,,,,,1,,,,1,1,1
1Kearns ,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Kearns & West,,1,,,,,,,,,,,9,1,9
1Kennedy,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Kennedy Jenks Consultants,,1,,,,,,,,,,,9,1,9
1KennedySch,1,12,50,,Educational,Non-Government,Local,Non-Government,,,,,,,Harvard Kennedy School,1,,,,,,,,,,,,0,1,0
1KernWater,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Kern County Water Agency,1,,,,,,,,,,,,0,1,0
1Kerr,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,Charles Kerr Foundation,,1,,,,,,,,,,,9,1,9
1Kleinberg,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,"Kleinberg Benefits, Inc",,,,,,,,1,,,,,1,1,1
1KMCorp,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Kinder Morgan Corporation,,1,,,,,,,,,,,9,1,9
1KNN,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,KNN Public Finance,,1,,,,,,,,,,,9,1,9
1Kresge,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,Kresge Foundation,,1,,,,,,,,,,,9,1,9
1Kropp,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Alan Kropp & Associates,,1,,,,,,,,,,,9,1,9
1Kyoto,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Kyoto USA,,1,,,,,,,,,,,9,1,9
1LBNL,1,14,50,,Science,Non-Government,Regional,Non-Government,,,,,,,Lawrence Livermore National Lab,,1,,,,,,,,,,,9,1,9
1LCGJ,1,12,50,,Educational,Non-Government,Regional,Non-Government,,,,,,,Laney College Green Jobs,,1,,,,,,,,,,,9,1,9
1LGC,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Local Government Commission,,1,,,,,,,,,,,9,1,9
1LIEE,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Leadership Institute for Ecology and the Economy,,1,,,,,,,,,,,9,1,9
1LLMed,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Lifelong Medical,,1,,,,,,,,,,,9,1,9
1LMC,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,LightMoves Consulting,,1,,,,,,,,,,,9,1,9
1LPI,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,"Local Power, Inc.",,1,,,,,,,,,,,9,1,9
1LSA,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,"LSA Associates, Inc",,1,,,,,,,,,,,9,1,9
1LSRF,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Laguna de Santa Rosa Foundation,,,,,,,,,,,1,,1,1,1
1MalongaCent,1,15,50,,Other,Non-Government,Local,Non-Government,,,,,,,Malonga Ctr. for the Arts Tenants Assoc.,,,1,,,,,,,,,,1,1,1
1MarinComm,1,13,50,,Foundations and Banks,Non-Government,Local,Non-Government,,,,,,,Marin Community Foundation,,,,,1,,,,,,,,1,1,1
1MarinFlood,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,Marin County Flood Control and Water Conservation District,,,,,1,,,,,,,,1,1,1
1MarinMUD,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,Marin Municipal Utilities District,,,,,1,,,,,,,,1,1,1
1MarinParks,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Marin County Parks,,,,,1,,,,,,,,1,1,1
1MarinPW,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Marin County Public Works,,,,,1,,,,,,,,1,1,1
1MarinSewer,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,Sewer Agency of South Marin,,,,,1,,,,,,,,1,1,1
1MarinStorm,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Marin County Stormwater Pollution Prevention Program,,,,,1,,,,,,,,1,1,1
1MAS,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Marin Audubon Society,,,,,1,,,,,,,,1,1,1
1Mazzetti,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Mazzetti,,1,,,,,,,,,,,9,1,9
1MBARI,1,14,50,,Science,Non-Government,Local,Non-Government,,,,,,,Monterrey Bay Aquarium Research Institute,,,,,1,,,,,,,,1,1,1
1MBCTC,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,Marin Building & Construction Trades Council,,,,,1,,,,,,,,1,1,1
1MBNEP,1,10,50,,Consortium,Local Government,Local,Local Government,,,,,,,Morro Bay Natural Estuary Program,1,,,,,,,,,,,,0,1,0
1MBRE,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,Moss Beach Renewable Energy,,,,,,,,1,,,,,1,1,1
1MCCDA,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Marin County Community Development Agency,,,,,1,,,,,,,,1,1,1
1MCCDC,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Marin City Community Development Corporation,,,,,1,,,,,,,,1,1,1
1MCL,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Marin Conservation League,,,,,1,,,,,,,,1,1,1
1MCWS,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Miller Creek Watershed Stewards,,,,,1,,,,,,,,1,1,1
1ME4,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Project ME4,1,,,,,,,,,,,,0,1,0
1MercedDPH,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Merced County  Public Health Department,1,,,,,,,,,,,,0,1,0
1MGJEP,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Movement Generation Justice and Ecology Project,,1,,,,,,,,,,,9,1,9
